datetime,actual,xgboost,arima,ensemble_70_30
2025-05-21 05:00:00,39077.9724029778,39037.2,39128.54557977735,39064.602736433204
2025-05-21 06:00:00,39048.1167905727,39041.35,39129.90832372522,39067.91780961757
2025-05-21 07:00:00,38975.6242605804,39036.06,39128.546817089205,39063.80427950176
2025-05-21 08:00:00,39006.4326929399,39032.574,39129.90708753679,39061.77290751104
2025-05-21 09:00:00,39064.0205589809,39041.55,39128.54805215523,39067.65035314657
2025-05-21 10:00:00,39068.9567588751,39043.406,39129.90585359214,39069.35652170264
2025-05-21 11:00:00,38925.5790901753,39051.91,39128.549284979505,39074.90072299385
2025-05-21 12:00:00,39194.8205493437,39050.863,39129.904621887224,39074.57490219117
2025-05-21 13:00:00,39173.5725506258,39055.273,39128.550515566094,39077.25656091983
2025-05-21 14:00:00,39093.2747363845,39053.11,39129.90339241795,39076.14679897539
2025-05-21 15:00:00,39092.8173423057,39048.703,39128.55174391906,39072.65732005072
2025-05-21 16:00:00,38951.4861643158,39043.145,39129.902165180276,39069.17182142908
2025-05-21 17:00:00,39111.937918317,39037.64,39128.55297004245,39064.91354726274
2025-05-21 18:00:00,39126.9939327303,39047.79,39129.90094017014,39072.42145392604
2025-05-21 19:00:00,39084.8649657133,39042.484,39128.55419394033,39068.304539432094
2025-05-21 20:00:00,39210.0284274125,39046.395,39129.89971738351,39071.44647771505
2025-05-21 21:00:00,39096.4521667917,39051.145,39128.55541561672,39074.367405935016
2025-05-21 22:00:00,39009.4228216022,39056.133,39129.89849681635,39078.26251779491
2025-05-21 23:00:00,39158.9682435529,39057.434,39128.55663507566,39078.7701155227
2025-05-22 00:00:00,39240.4100769899,39048.67,39129.89727846462,39073.03949603938
2025-05-22 01:00:00,38996.5572278608,39042.586,39128.55785232118,39068.37790257135
2025-05-22 02:00:00,39038.1475497904,39034.57,39129.89606232431,39063.16803744729
2025-05-22 03:00:00,39147.2990008705,39034.508,39128.559067357295,39062.72201708219
2025-05-22 04:00:00,39206.1922923871,39027.918,39129.89484839141,39058.511423267424
2025-05-22 05:00:00,38985.1488955103,39032.402,39128.56028018801,39061.2497246814
2025-05-22 06:00:00,39062.279265812,39036.45,39129.893636661895,39064.48176287357
